NAME,START,LABEL
BLD_AGE_GRP,               1,Under 20
BLD_AGE_GRP,               2,20 To 24
BLD_AGE_GRP,               3,25 To 29
BLD_AGE_GRP,               4,30 To 34
BLD_AGE_GRP,               5,35 To 39
BLD_AGE_GRP,               6,40 To 44
BLD_AGE_GRP,               7,45 To 49
BLD_AGE_GRP,               8,50 To 54
BLD_AGE_GRP,               9,55 To 59
BLD_AGE_GRP,              10,60 To 64
BLD_AGE_GRP,              11,65 To 69
BLD_AGE_GRP,              12,70 To 74
BLD_AGE_GRP,              13,75 And Over
DEMO_EDUCATION,               1,Grade school
DEMO_EDUCATION,               2,Some high school
DEMO_EDUCATION,               3,High school graduate
DEMO_EDUCATION,               4,Some trade school
DEMO_EDUCATION,               5,Trade school graduate
DEMO_EDUCATION,               6,Some community college
DEMO_EDUCATION,               7,Graduate with two-year degree
DEMO_EDUCATION,               8,Some university
DEMO_EDUCATION,               9,Graduate with bachelor's degree
DEMO_EDUCATION,              10,Some post-graduate study
DEMO_EDUCATION,              11,Post-graduate degree
DEMO_EDUCATION,              12,Other
DEMO_EDUCATION,              13,High School
DEMO_EDUCATION,              14,Trade School
DEMO_EDUCATION,              15,Community College
DEMO_EDUCATION,              16,Bacheolor's/4-yr degree
GENERATION_GRP,               1,Millennials (1979-1994)
GENERATION_GRP,               2,Gen X (1965-1978)
GENERATION_GRP,               3,Trailing-Edge Boomers (1960-1964)
GENERATION_GRP,               4,Leading-Edge Boomers (1946-1959)
GENERATION_GRP,               5,Matures (< 1946)
GENERATION_GRP,               6,Gen Z (>1994)
DEMO_GENDER1,               1,Male
DEMO_GENDER1,               2,Female
DEMO_GENDER1,               3,Other
BLD_HOBBY1_GRP,               1,Leisure Activities
BLD_HOBBY1_GRP,               2,Competitive Sports
BLD_HOBBY1_GRP,               3,Physical Activities
BLD_HOBBY1_GRP,               4,Water Activities/Sports
BLD_HOBBY1_GRP,               5,Cold Weather Activities
BLD_HOBBY1_GRP,               6,Hands-On Activities
BLD_HOBBY1_GRP,               7,Outdoor Activities
BLD_HOBBY1_GRP,               8,Activities in the Air
BLD_HOBBY1_GRP,               9,Professional & Social Activities
BLD_HOBBY1_GRP,              10,Other Activities
BLD_HOBBY1_GRP,              11,Miscellaneous Activities
DEMO_INCOME,               1,"$15,000 or less"
DEMO_INCOME,               2,"$15,001-$20,000"
DEMO_INCOME,               3,"$20,001-$25,000"
DEMO_INCOME,               4,"$25,001-$30,000"
DEMO_INCOME,               5,"$30,001-$35,000"
DEMO_INCOME,               6,"$35,001-$40,000"
DEMO_INCOME,               7,"$40,001-$45,000"
DEMO_INCOME,               8,"$45,001-$50,000"
DEMO_INCOME,               9,"$50,001-$55,000"
DEMO_INCOME,              10,"$55,001-$65,000"
DEMO_INCOME,              11,"$65,001-$75,000"
DEMO_INCOME,              12,"$75,001-$85,000"
DEMO_INCOME,              13,"$85,001-$100,000"
DEMO_INCOME,              14,"$100,001-$125,000"
DEMO_INCOME,              15,"$125,001-$150,000"
DEMO_INCOME,              16,"$150,001-$200,000"
DEMO_INCOME,              17,"$200,001-$300,000"
DEMO_INCOME,              18,"$300,001-$400,000"
DEMO_INCOME,              19,"Over $400,000"
BLD_LIFESTAGE,               1,Married With Children - Youngest Child Under 6 Years Of Age
BLD_LIFESTAGE,               2,Married With Children - Youngest Child 6 To 12 Years Of Age
BLD_LIFESTAGE,               3,Married With Children - Youngest Child 13 To 17 Years Of Age
BLD_LIFESTAGE,               4,Married Without Children Under 45 Years Of Age
BLD_LIFESTAGE,               5,Married Without Children 45 To 59 Years Of Age
BLD_LIFESTAGE,               6,Married Without Children 60 Years Of Age And Over
BLD_LIFESTAGE,               7,Unmarried With Children
BLD_LIFESTAGE,               8,Unmarried Under 30 Years of Age
BLD_LIFESTAGE,               9,Unmarried 30 To 44 Years Of Age
BLD_LIFESTAGE,              10,Unmarried 45 Years And Over
DEMO_LOCATION,               1,Metropolitan city
DEMO_LOCATION,               2,Suburban community of a larger city
DEMO_LOCATION,               3,Small town or rural city
DEMO_LOCATION,               4,Farming area
DEMO_MARITAL,               1,Married
DEMO_MARITAL,               2,"Single, never married"
DEMO_MARITAL,               3,"Divorced, widowed, separated"
DEMO_MARITAL,               4,Cohabitating
DEMO_EMPLOY,               1,Armed Services
DEMO_EMPLOY,               2,Senior Executive
DEMO_EMPLOY,               3,Mid-level manager
DEMO_EMPLOY,               4,Entry-level professional
