"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"F-150",3,-0.63093280413627,0.131359263545858,11,16,4,1,NA,30,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,2.36963341090059,1.32342526755413,11,14,3,1,NA,12,NA,NA,NA,NA,42,NA,NA,1,NA,NA,NA,NA,NA,NA,2,46000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,1.39761256983724,-1.12046761489298,11,16,4,1,7,11,10,3,3,22,47,0,1,1,NA,NA,6000,NA,NA,NA,NA,67000,23,NA,1,2,2,3,3,2,4,1,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,3,2,3,1,3
"F-150",3,-0.560971175432076,1.1847096481444,4,11,6,1,1,16,4,2,1,11,42,0,1,NA,71,NA,1000,770,NA,84,2,50000,81,NA,31,2,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3
"F-150",3,1.74667420056818,-1.13604478463765,12,11,4,1,9,15,6,4,1,22,42,0,1,1,53,16000,26000,531,NA,48,1,58000,54,NA,1,2,3,4,3,3,3,1,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2,4,2,1
"F-150",3,2.83808062158549,2.34875243437913,5,16,1,1,6,14,2,2,1,12,42,2,2,1,39,750,5500,699,NA,72,1,47000,40,NA,NA,2,3,4,4,4,4,1,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,3,1,1,2,3
"F-150",3,1.79815011830476,3.24055027233755,10,11,3,1,NA,32,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,1.57505870291956,3.00159721382382,12,11,4,1,NA,12,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",2,-1.61088665624398,-12.3705578691504,12,14,4,1,NA,26,NA,NA,NA,NA,42,NA,NA,1,69,8000,NA,678,NA,84,NA,36000,81,216620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,3,5,5,5,5,2,5,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,-0.45827225694098,0.903985735604266,10,16,3,1,NA,20,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,35000,NA,NA,NA,NA,70000,55,NA,NA,NA,3,4,3,3,4,1,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,4,3,2,1,3
"F-150",3,1.63195305752062,0.34622408465275,11,13,4,1,1,12,6,3,1,22,29,0,2,1,80,2000,NA,950,NA,2,1,62000,47,NA,1,1,3,2,3,3,3,1,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,2,3
"F-150",3,2.25598592995688,3.63547010363643,9,16,2,1,7,28,5,3,1,11,9,0,1,NA,NA,NA,NA,800,36,NA,1,NA,40,NA,10,1,2,4,4,4,1,1,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,3,4,4,2
"F-150",3,2.01594186119035,0.755960591537979,10,16,3,1,NA,20,NA,NA,NA,NA,13,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,55,508550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,1.12124492145441,-0.854166759554673,5,16,1,1,6,30,1,2,1,5,13,2,2,1,50,NA,10000,850,NA,72,2,54000,87,779440,23,2,3,3,3,3,2,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,3,3,4,2,2
"F-150",2,-1.75856735304692,-11.7452625167133,10,12,3,1,3,13,6,3,1,22,41,0,1,NA,84,NA,3000,750,NA,NA,1,50000,63,NA,28,2,1,4,4,3,2,1,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,3,3,1,3
"F-150 Lightning EV",1,-10.9461509605876,2.83591460077861,9,16,2,1,7,31,2,2,1,3,4,2,2,1,NA,NA,NA,1000,36,NA,1,NA,81,NA,13,2,3,4,4,3,2,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,4,3,4,3
"F-150",1,-9.92162562836269,1.90083804754086,11,13,4,1,NA,27,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,2.73950336372913,0.29311037983588,11,15,4,1,NA,14,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,64000,47,NA,NA,1,3,4,4,3,3,1,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,4,3,1,3
"F-150",3,0.54538887421251,-0.546847685587124,10,11,2,1,NA,20,NA,NA,NA,NA,42,NA,NA,NA,0,2000,2000,560,NA,48,1,36000,55,NA,NA,1,4,3,3,2,1,2,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,1,1,3
"F-150 Lightning EV",3,-0.0777089400181717,-0.204095723680615,7,11,2,1,NA,20,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,1.85143823447328,3.34216660795701,12,16,4,1,1,28,6,2,1,22,31,0,1,NA,NA,NA,12000,NA,NA,NA,NA,74000,33,NA,33,1,1,4,4,4,4,1,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,1,2,3,1,3
"F-150 Lightning EV",3,0.798998811080424,0.137757610316857,12,16,4,1,1,29,6,3,1,22,42,0,1,1,105,57300,17240,324,NA,36,2,79789,47,NA,33,1,3,3,3,3,3,1,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,3,3,1,2
"F-150",3,3.09568109831578,3.72233553702756,6,13,1,1,4,28,3,2,1,18,4,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,23,NA,1,1,3,4,4,4,3,1,3,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,2,4,2,1
"F-150 Lightning EV",3,1.18477735160982,1.3206915703739,11,16,3,1,6,28,6,1,1,22,46,0,1,1,0,2500,30000,700,NA,60,1,70000,4,NA,23,2,4,3,3,3,3,3,1,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,4,2,3,3
"F-150",3,-0.994766880140437,-0.292330566333095,6,14,1,1,NA,28,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,1.32711600575138,-0.973368739945053,5,11,1,1,NA,30,NA,NA,NA,NA,42,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",1,-10.8747913372631,2.52641235376553,13,14,4,1,7,12,6,4,1,22,35,0,1,1,67,10000,NA,680,NA,72,1,53000,25,949994,1,2,3,3,4,3,3,1,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,2,2,2,4
