BLD_DESC_RV_MODEL,cluster,emb_x,emb_y,BLD_AGE_GRP,DEMO_EDUCATION,GENERATION_GRP,DEMO_GENDER1,BLD_HOBBY1_GRP,DEMO_INCOME,BLD_LIFESTAGE,DEMO_LOCATION,DEMO_MARITAL,DEMO_EMPLOY,ADMARK_STATE,BLD_CHILDREN,DEMO_EMPTY_NESTER
Mustang Mach-E,2,0.906537888,2.121479161,9,11,2,1,1,15,5,2,1,12,41,0,2
Mustang Mach-E,2,1.099006159,1.985281271,9,11,2,1,11,16,5,2,1,12,9,0,1
Mustang Mach-E,2,-0.110620944,0.043631695,6,11,1,1,NA,28,NA,NA,NA,NA,26,NA,NA
Bronco,2,2.721726504,1.484697854,6,11,1,2,3,29,1,2,1,11,9,2,2
Bronco,2,-3.325294012,-2.989785321,10,16,3,1,6,12,10,3,3,13,29,0,2
Bronco,2,1.840381487,-0.564051882,7,16,2,2,4,29,3,3,1,2,35,1,2
Bronco,2,0.506357123,-1.751887648,4,11,1,2,NA,12,NA,NA,NA,NA,10,NA,NA
Bronco,2,0.365979521,-2.19618851,11,16,4,1,NA,15,NA,NA,NA,NA,42,NA,NA
Bronco,2,-3.929739723,-3.538491284,8,11,2,2,NA,28,NA,NA,NA,NA,16,NA,NA
Mustang Mach-E,2,0.299741493,-0.778179158,12,16,4,1,NA,14,NA,NA,NA,NA,27,NA,NA
Bronco,2,1.47494451,-1.776326392,7,16,1,1,1,28,5,2,1,3,4,0,2
Mustang Mach-E,2,0.635413825,1.145671565,13,11,4,1,6,28,6,2,1,22,36,0,2
Bronco,2,1.39323279,-1.710703783,13,11,4,1,NA,29,NA,NA,NA,NA,27,NA,NA
Bronco,2,1.270678281,-1.164931019,10,13,2,2,1,16,6,4,1,11,18,0,1
Mustang Mach-E,1,-2.987053948,8.660660655,10,11,3,1,3,33,6,1,1,12,30,0,1
Mustang Mach-E,2,0.572482333,1.711457833,7,16,1,1,NA,28,NA,NA,NA,NA,26,NA,NA
Mustang Mach-E,2,0.134707966,1.149103328,4,11,1,1,4,16,1,2,1,11,48,1,2
Mustang Mach-E,2,-0.07029866,-0.099756955,8,16,2,1,9,28,2,2,1,14,31,2,2
Mustang Mach-E,2,0.77556275,1.967664857,6,13,1,1,6,14,2,2,1,11,12,2,2
Bronco,2,2.102528977,1.376238043,10,13,3,1,NA,14,NA,NA,NA,NA,34,NA,NA
Mustang Mach-E,2,0.472122946,0.686910456,10,11,3,2,NA,23,NA,NA,NA,NA,19,NA,NA
Mustang Mach-E,2,0.594675161,1.200720191,8,16,2,1,1,28,5,2,1,3,5,0,2
Bronco,2,-4.081912196,-3.58358621,11,16,4,1,7,32,6,1,1,22,27,0,1
Bronco,2,2.072709259,-0.145611816,10,16,3,2,1,23,6,3,1,10,6,0,1
Bronco,2,-3.228172434,-3.342590978,6,16,1,1,2,15,4,1,1,5,16,0,2
Mustang Mach-E,1,-2.59321533,9.029582897,12,16,4,1,6,14,6,3,1,22,5,0,1
Mustang Mach-E,2,1.262368408,2.112317229,4,13,1,1,1,14,4,3,1,14,41,0,1
Mustang Mach-E,2,0.213508009,1.305024391,8,16,2,1,11,28,3,3,1,2,13,2,2
Bronco,2,2.439494311,1.399152006,10,15,3,1,NA,14,NA,NA,NA,NA,5,NA,NA
Bronco,2,-4.063776783,-3.365151326,12,15,4,2,4,11,6,3,1,22,9,0,1
Bronco,2,2.784890301,0.546115354,11,15,4,1,NA,12,NA,NA,NA,NA,32,NA,NA
Bronco,2,1.997651216,-0.643969949,9,14,2,1,NA,20,NA,NA,NA,NA,5,NA,NA
Bronco,2,1.926905275,1.132042457,10,13,3,1,NA,14,NA,NA,NA,NA,12,NA,NA
Mustang Mach-E,2,0.781670663,1.471754662,6,11,1,1,NA,16,NA,NA,NA,NA,34,NA,NA
Mustang Mach-E,2,0.903674504,1.819106663,10,11,3,1,NA,16,NA,NA,NA,NA,4,NA,NA
Mustang Mach-E,2,0.169092438,-0.295971996,6,11,1,1,NA,29,NA,NA,NA,NA,46,NA,NA
Mustang Mach-E,2,-0.209299762,0.272229358,7,11,1,1,1,16,3,2,1,10,15,2,2
Bronco,2,2.12366125,0.90539852,12,11,4,2,7,20,6,3,1,22,32,0,1
Bronco,2,-4.085547544,-3.506150747,11,12,3,1,1,29,6,1,1,23,16,0,1
Bronco,2,-4.325340307,-2.903450157,7,16,2,1,1,14,2,3,1,3,34,1,2
Mustang Mach-E,2,0.641078803,1.722100444,8,11,2,1,4,13,5,2,1,3,21,0,2
Bronco,2,1.456711723,-0.102574671,5,16,1,1,6,16,2,3,1,1,32,2,2
Bronco,2,2.029686131,-0.648965887,8,11,2,1,8,15,5,2,1,3,9,0,2
Mustang Mach-E,2,0.248371212,0.407113035,9,16,2,1,1,16,5,4,1,14,14,0,2
Mustang Mach-E,2,0.355655431,0.525038437,6,16,1,1,NA,15,NA,NA,NA,NA,21,NA,NA
Bronco,2,1.921800855,-0.847928236,10,14,3,1,11,12,6,2,1,23,37,0,1
Mustang Mach-E,2,-0.058705808,0.279218588,9,16,2,1,6,30,5,2,1,14,42,0,2
Mustang Mach-E,2,-3.160659511,-2.491881176,8,11,2,2,3,16,10,2,3,12,21,0,2
Bronco,2,1.787952823,1.106063814,12,13,4,2,7,27,10,3,3,22,36,0,1
Bronco,2,1.020411134,-2.20724193,9,15,2,2,NA,16,NA,NA,NA,NA,17,NA,NA
Bronco,2,1.069981469,-2.049632891,10,16,3,1,11,12,6,3,1,17,41,0,2
Mustang Mach-E,2,-3.416904772,-2.533970777,12,16,4,1,NA,13,NA,NA,NA,NA,4,NA,NA
Bronco,2,0.988399586,0.307064769,9,12,2,1,NA,20,NA,NA,NA,NA,32,NA,NA
Mustang Mach-E,2,0.936546162,1.732839464,6,16,1,1,NA,23,NA,NA,NA,NA,34,NA,NA
Bronco,2,1.207364119,-2.018667824,11,16,4,1,NA,32,NA,NA,NA,NA,37,NA,NA
Mustang Mach-E,2,1.369710636,2.118655731,7,15,1,2,4,14,2,1,1,12,26,1,2
Bronco,2,1.866110689,1.244468295,7,13,1,2,11,10,5,2,1,4,31,0,1
Bronco,2,-3.810720879,-3.522348348,11,15,4,1,NA,28,NA,NA,NA,NA,4,NA,NA
Mustang Mach-E,2,1.872227108,2.052090987,3,13,6,1,3,27,7,2,3,23,4,1,2
Bronco,2,1.498137947,-1.010239092,10,16,3,1,5,28,6,3,1,22,5,0,1
Mustang Mach-E,2,0.528233194,0.454817509,9,16,2,2,6,16,5,1,1,22,4,0,1
Mustang Mach-E,2,1.122458545,2.094327388,13,13,4,1,NA,20,NA,NA,NA,NA,9,NA,NA
Bronco,2,2.551483852,0.342973247,8,12,2,1,4,27,7,3,4,17,4,1,2
Mustang Mach-E,2,0.21272724,0.520370379,5,11,1,1,1,15,9,2,2,11,8,0,2
Mustang Mach-E,2,0.202061679,-0.819606691,9,11,2,2,4,15,5,2,1,12,12,0,2
Mustang Mach-E,2,0.862185413,-1.480349158,7,11,2,1,3,20,2,2,1,12,4,3,2
Mustang Mach-E,1,-2.29734793,9.188452828,7,13,1,1,NA,15,2,3,1,10,44,2,2
Mustang Mach-E,2,0.576369776,1.212728601,12,16,4,1,1,15,10,2,3,22,36,0,1
Bronco,2,1.479472385,-1.415942908,7,16,2,1,1,15,5,2,1,3,42,0,1
Bronco,2,1.454102368,-1.583199171,10,16,2,1,11,28,10,3,4,9,8,0,1
Bronco,2,1.724263563,0.49855049,10,16,2,1,7,30,6,2,1,22,1,0,2
Mustang Mach-E,2,0.42033414,-1.765205976,6,16,1,1,NA,31,NA,NA,NA,NA,12,NA,NA
Bronco,2,2.109106098,0.80367456,10,16,3,1,3,20,6,1,1,3,34,0,1
Mustang Mach-E,2,0.531193815,0.788103875,9,14,2,1,3,16,5,3,1,13,6,0,1
Bronco,2,2.399116058,1.012729004,11,16,4,1,1,28,10,3,3,22,25,0,2
Mustang Mach-E,2,-3.689285262,-1.443459402,6,16,1,2,NA,13,NA,NA,NA,NA,12,NA,NA
Bronco,2,0.964903185,-0.939894233,11,15,4,2,6,12,6,4,1,22,21,0,1
Mustang Mach-E,1,-2.369141511,9.002395877,5,13,1,1,4,14,4,3,1,23,43,0,1
Mustang Mach-E,2,0.866508948,2.236846878,11,16,3,2,3,20,6,2,1,22,4,0,1
Mustang Mach-E,2,-3.283528549,-2.55007867,7,11,2,1,2,10,5,2,1,4,42,0,2
Mustang Mach-E,2,0.976758982,0.99552382,12,11,4,2,NA,20,NA,NA,NA,NA,34,NA,NA
Mustang Mach-E,2,0.025403633,-0.33403171,13,16,5,1,3,12,6,2,1,22,21,0,1
Mustang Mach-E,2,1.011156453,1.767123483,10,11,3,2,NA,13,NA,NA,NA,NA,4,NA,NA
Mustang Mach-E,2,0.946713914,1.565998952,3,16,6,1,2,13,1,3,1,8,2,2,2
Mustang Mach-E,2,-0.031288325,-0.722491708,10,16,3,1,2,29,6,2,1,2,37,0,1
Bronco,2,1.611306597,-1.431762285,12,11,4,1,1,16,6,3,1,11,34,0,1
Mustang Mach-E,2,1.929809579,1.50211856,9,11,2,2,NA,20,NA,NA,NA,NA,4,NA,NA
Mustang Mach-E,2,1.120653242,2.164955918,6,16,1,1,1,13,3,3,1,1,23,1,2
Bronco,2,1.699358287,0.310887062,11,13,4,1,7,10,10,3,3,22,9,0,1
Mustang Mach-E,2,-3.640067162,-1.532636333,3,12,6,2,NA,20,NA,NA,NA,NA,27,NA,NA
Mustang Mach-E,2,0.773464717,0.817742085,6,11,1,1,NA,33,NA,NA,NA,NA,28,NA,NA
Mustang Mach-E,2,0.069940439,0.189380825,8,11,2,1,NA,31,NA,NA,NA,NA,4,NA,NA
Bronco,1,-2.817626123,8.767654962,10,15,2,2,NA,15,NA,NA,NA,NA,8,NA,NA
Bronco,1,-2.782869488,9.222615384,6,11,1,1,1,14,4,2,1,3,39,0,2
Mustang Mach-E,2,1.005283866,1.146316466,NA,16,NA,2,NA,20,NA,NA,NA,NA,9,NA,NA
Bronco,2,1.76263092,0.798058944,9,15,2,1,NA,20,NA,NA,NA,NA,4,NA,NA
Mustang Mach-E,2,0.571220375,0.517763572,12,16,4,1,2,23,6,2,1,2,24,0,1
Bronco,2,1.006511224,-0.697461865,9,13,2,1,1,15,3,1,1,3,30,1,2
Bronco,2,1.953631934,-0.857945116,9,11,2,2,NA,28,NA,NA,NA,NA,21,NA,NA
Mustang Mach-E,2,0.996070105,1.487709388,7,11,1,2,1,14,5,3,1,10,16,0,1
Mustang Mach-E,1,-2.973738522,8.710165312,11,16,4,1,NA,26,10,2,3,17,46,0,1
Bronco,2,1.869095501,-0.772040021,13,16,4,1,7,16,6,3,1,22,49,0,2
Mustang Mach-E,2,0.961045915,-1.466009126,12,15,4,2,1,14,6,2,1,22,34,0,1
Mustang Mach-E,2,1.229830388,1.47650814,6,13,1,1,NA,27,9,2,2,9,42,0,2
Mustang Mach-E,2,0.249276852,1.552211601,10,14,3,1,1,14,6,2,1,22,22,0,2
Bronco,2,1.633996145,-1.118066399,12,15,4,1,6,11,6,3,1,22,21,0,1
Bronco,2,0.433232765,-2.194181653,13,13,4,1,NA,15,NA,NA,NA,NA,28,NA,NA
Bronco,2,0.504230195,-0.05153573,3,16,6,2,2,15,8,2,2,3,16,0,2
Bronco,2,1.832211195,-0.622434985,8,16,2,2,NA,NA,NA,NA,NA,NA,4,NA,NA
Bronco,2,-3.945604336,-3.658755392,11,14,4,1,NA,14,NA,NA,NA,NA,29,NA,NA
